client_id,client_name,source_amount,fee_pct,expected_net_amount
C000094,Client 94,45971.30,0.02,45051.87
C000095,Client 95,47584.26,0.02,46632.57
C000096,Client 96,16559.03,0.02,16227.85
C000097,Client 97,35160.09,0.02,34456.89
C000098,Client 98,33250.72,0.02,32585.71
C000099,Client 99,42075.44,0.02,41233.93
C000100,Client 100,23559.73,0.02,23088.54
C000101,Client 101,48396.85,0.02,47428.91
C000102,Client 102,20201.82,0.02,19797.78
C000103,Client 103,7254.86,0.02,7109.76
C000104,Client 104,3530.16,0.02,3459.56
C000105,Client 105,10501.64,0.02,10291.61
C000106,Client 106,38592.88,0.02,37821.02
C000107,Client 107,16556.44,0.02,16225.31
C000108,Client 108,26587.00,0.02,26055.26
C000109,Client 109,20264.37,0.02,19859.08
C000110,Client 110,15933.63,0.02,15614.96
C000111,Client 111,5708.62,0.02,5594.45
C000112,Client 112,11674.19,0.02,11440.71
C000113,Client 113,6675.33,0.02,6541.82
C000114,Client 114,14689.02,0.02,14395.24
C000115,Client 115,3633.72,0.02,3561.05
C000116,Client 116,42939.71,0.02,42080.92
C000117,Client 117,35629.03,0.02,34916.45
C000118,Client 118,6311.58,0.02,6185.35
C000119,Client 119,30806.98,0.02,30190.84
C000120,Client 120,32099.75,0.02,31457.76
C000121,Client 121,24239.96,0.02,23755.16
C000122,Client 122,2392.50,0.02,2344.65
C000123,Client 123,37449.23,0.02,36700.25
C000124,Client 124,36607.60,0.02,35875.45
C000125,Client 125,33063.52,0.02,32402.25
C000126,Client 126,21389.09,0.02,20961.31
C000127,Client 127,39402.60,0.02,38614.55
C000128,Client 128,46040.26,0.02,45119.45
C000129,Client 129,12710.56,0.02,12456.35
C000130,Client 130,41914.03,0.02,41075.75
C000131,Client 131,40398.17,0.02,39590.21
C000132,Client 132,39177.55,0.02,38394.00
C000133,Client 133,5169.10,0.02,5065.72
C000134,Client 134,753.12,0.02,738.06
C000135,Client 135,38324.34,0.02,37557.85
C000136,Client 136,17529.34,0.02,17178.75
C000137,Client 137,11884.52,0.02,11646.83
C000138,Client 138,20768.39,0.02,20353.02
C000139,Client 139,1897.85,0.02,1859.89
C000140,Client 140,49787.50,0.02,48791.75
C000141,Client 141,40750.89,0.02,39935.87
C000142,Client 142,16771.94,0.02,16436.50
C000143,Client 143,34615.66,0.02,33923.35
C000144,Client 144,8289.72,0.02,8123.93
C000145,Client 145,19413.52,0.02,19025.25
C000146,Client 146,3938.45,0.02,3859.68
C000147,Client 147,6729.49,0.02,6594.90
C000148,Client 148,49744.80,0.02,48749.90
C000149,Client 149,47842.41,0.02,46885.56
C000150,Client 150,18734.15,0.02,18359.47
C000151,Client 151,7751.10,0.02,7596.08
C000152,Client 152,32921.82,0.02,32263.38
C000153,Client 153,36791.35,0.02,36055.52
C000154,Client 154,18096.67,0.02,17734.74
C000155,Client 155,24341.59,0.02,23854.76
C000156,Client 156,22644.26,0.02,22191.37
C000157,Client 157,39706.06,0.02,38911.94
C000158,Client 158,46658.07,0.02,45724.91
C000159,Client 159,45983.26,0.02,45063.59
C000160,Client 160,5781.49,0.02,5665.86
C000161,Client 161,27172.73,0.02,26629.28
C000162,Client 162,7021.71,0.02,6881.28
C000163,Client 163,47037.33,0.02,46096.58
C000164,Client 164,9036.19,0.02,8855.47
C000165,Client 165,39915.64,0.02,39117.33
C000166,Client 166,23183.10,0.02,22719.44
C000167,Client 167,6260.71,0.02,6135.50
C000168,Client 168,10754.93,0.02,10539.83
C000169,Client 169,4082.38,0.02,4000.73
C000170,Client 170,2557.08,0.02,2505.94
C000171,Client 171,7199.13,0.02,7055.15
C000172,Client 172,37348.63,0.02,36601.66
C000173,Client 173,30057.95,0.02,29456.79
C000174,Client 174,2622.20,0.02,2569.76
C000175,Client 175,36004.82,0.02,35284.72
C000176,Client 176,48774.17,0.02,47798.69
C000177,Client 177,12738.07,0.02,12483.31
C000178,Client 178,48689.27,0.02,47715.48
C000179,Client 179,15786.48,0.02,15470.75
C000180,Client 180,42690.12,0.02,41836.32
C000181,Client 181,18027.47,0.02,17666.92
C000182,Client 182,34237.73,0.02,33552.98
C000183,Client 183,12367.64,0.02,12120.29
C000184,Client 184,34348.10,0.02,33661.14
C000185,Client 185,10868.97,0.02,10651.59
C000186,Client 186,28042.04,0.02,27481.20
C000187,Client 187,11483.03,0.02,11253.37
C000188,Client 188,30340.91,0.02,29734.09
C000189,Client 189,9452.34,0.02,9263.29
C000190,Client 190,49712.79,0.02,48718.53
C000191,Client 191,35321.12,0.02,34614.70
C000192,Client 192,3361.23,0.02,3294.01
C000193,Client 193,39611.17,0.02,38818.95
C000194,Client 194,31747.27,0.02,31112.32
C000195,Client 195,20823.84,0.02,20407.36
C000196,Client 196,29028.36,0.02,28447.79
C000197,Client 197,36333.71,0.02,35607.04
C000198,Client 198,13168.62,0.02,12905.25
C000199,Client 199,25900.65,0.02,25382.64
C000200,Client 200,17948.46,0.02,17589.49
C000201,Client 201,25672.61,0.02,25159.16
C000202,Client 202,546.11,0.02,535.19
C000203,Client 203,13613.36,0.02,13341.09
C000204,Client 204,30041.12,0.02,29440.30
C000205,Client 205,40658.55,0.02,39845.38
C000206,Client 206,24887.66,0.02,24389.91
C000207,Client 207,6953.55,0.02,6814.48
C000208,Client 208,49025.79,0.02,48045.27
C000209,Client 209,22685.13,0.02,22231.43
C000210,Client 210,15816.21,0.02,15499.89
C000211,Client 211,13680.20,0.02,13406.60
C000212,Client 212,16778.41,0.02,16442.84
C000213,Client 213,7126.67,0.02,6984.14
C000214,Client 214,5396.09,0.02,5288.17
C000215,Client 215,32408.11,0.02,31759.95
C000216,Client 216,23338.68,0.02,22871.91
C000217,Client 217,31275.20,0.02,30649.70
C000218,Client 218,13008.07,0.02,12747.91
C000219,Client 219,14977.92,0.02,14678.36
C000220,Client 220,42473.54,0.02,41624.07
C000221,Client 221,26284.79,0.02,25759.09
C000222,Client 222,17417.24,0.02,17068.90
C000223,Client 223,27113.29,0.02,26571.02
C000224,Client 224,30743.37,0.02,30128.50
C000225,Client 225,1503.78,0.02,1473.70
C000226,Client 226,3111.16,0.02,3048.94
C000227,Client 227,19991.66,0.02,19591.83
C000228,Client 228,40675.26,0.02,39861.75
C000229,Client 229,28704.78,0.02,28130.68
C000230,Client 230,23395.18,0.02,22927.28
C000231,Client 231,9961.91,0.02,9762.67
C000232,Client 232,2780.11,0.02,2724.51
C000233,Client 233,20862.80,0.02,20445.54
C000234,Client 234,46099.76,0.02,45177.76
C000235,Client 235,21313.13,0.02,20886.87
C000236,Client 236,20303.86,0.02,19897.78
C000237,Client 237,49239.38,0.02,48254.59
C000238,Client 238,25126.72,0.02,24624.19
C000239,Client 239,26619.28,0.02,26086.89
C000240,Client 240,28331.70,0.02,27765.07
C000241,Client 241,27691.82,0.02,27137.98
C000242,Client 242,8913.40,0.02,8735.13
C000243,Client 243,13416.19,0.02,13147.87
C000244,Client 244,37969.30,0.02,37209.91
C000245,Client 245,19472.56,0.02,19083.11
C000246,Client 246,47944.24,0.02,46985.36
C000247,Client 247,12163.66,0.02,11920.39
C000248,Client 248,7158.34,0.02,7015.17
C000249,Client 249,26519.63,0.02,25989.24
C000250,Client 250,14043.48,0.02,13762.61
C000251,Client 251,7032.56,0.02,6891.91
C000252,Client 252,46447.56,0.02,45518.61
C000253,Client 253,28981.99,0.02,28402.35
C000254,Client 254,8679.20,0.02,8505.62
C000255,Client 255,15320.48,0.02,15014.07
C000256,Client 256,12321.06,0.02,12074.64
C000257,Client 257,28377.66,0.02,27810.11
C000258,Client 258,2262.14,0.02,2216.90
C000259,Client 259,25807.86,0.02,25291.70
C000260,Client 260,34287.43,0.02,33601.68
C000261,Client 261,7204.78,0.02,7060.68
C000262,Client 262,1951.13,0.02,1912.11
C000263,Client 263,47880.35,0.02,46922.74
C000264,Client 264,3745.66,0.02,3670.75
C000265,Client 265,32808.45,0.02,32152.28
C000266,Client 266,49386.70,0.02,48398.97
C000267,Client 267,32289.19,0.02,31643.41
C000268,Client 268,25415.09,0.02,24906.79
C000269,Client 269,3959.39,0.02,3880.20
C000270,Client 270,19194.93,0.02,18811.03
C000271,Client 271,13980.46,0.02,13700.85
C000272,Client 272,16269.06,0.02,15943.68
C000273,Client 273,42018.85,0.02,41178.47
C000274,Client 274,35768.26,0.02,35052.89
C000275,Client 275,33477.31,0.02,32807.76
C000276,Client 276,8300.25,0.02,8134.24
C000277,Client 277,11534.98,0.02,11304.28
C000278,Client 278,442.15,0.02,433.31
C000279,Client 279,38331.63,0.02,37565.00
C000280,Client 280,42987.62,0.02,42127.87
C000281,Client 281,22628.53,0.02,22175.96
C000282,Client 282,23831.46,0.02,23354.83
C000283,Client 283,3911.51,0.02,3833.28
C000284,Client 284,2744.52,0.02,2689.63
C000285,Client 285,2359.74,0.02,2312.55
C000286,Client 286,8836.47,0.02,8659.74
C000287,Client 287,48200.91,0.02,47236.89
C000288,Client 288,21574.03,0.02,21142.55
C000289,Client 289,23816.72,0.02,23340.39
C000290,Client 290,14382.60,0.02,14094.95
C000291,Client 291,43624.79,0.02,42752.29
C000292,Client 292,25498.39,0.02,24988.42
C000293,Client 293,14382.37,0.02,14094.72
C000294,Client 294,8080.19,0.02,7918.59
C000295,Client 295,23411.76,0.02,22943.52
C000296,Client 296,12866.47,0.02,12609.14
C000297,Client 297,26620.28,0.02,26087.87
C000298,Client 298,21139.48,0.02,20716.69
C000299,Client 299,49827.20,0.02,48830.66
C000300,Client 300,11000.92,0.02,10780.90
C000301,Client 301,38833.50,0.02,38056.83
C000302,Client 302,40861.16,0.02,40043.94
C000303,Client 303,49461.29,0.02,48472.06
C000304,Client 304,7059.36,0.02,6918.17
C000305,Client 305,49219.80,0.02,48235.40
C000306,Client 306,27260.70,0.02,26715.49
C000307,Client 307,33217.34,0.02,32552.99
C000308,Client 308,17731.46,0.02,17376.83
C000309,Client 309,12914.17,0.02,12655.89
C000310,Client 310,22357.20,0.02,21910.06
C000311,Client 311,21761.74,0.02,21326.51
C000312,Client 312,44475.97,0.02,43586.45
C000313,Client 313,11844.21,0.02,11607.33
C000314,Client 314,37362.12,0.02,36614.88
C000315,Client 315,27421.67,0.02,26873.24
C000316,Client 316,26926.19,0.02,26387.67
C000317,Client 317,3904.04,0.02,3825.96
C000318,Client 318,21170.22,0.02,20746.82
C000319,Client 319,37194.61,0.02,36450.72
C000320,Client 320,38114.54,0.02,37352.25
C000321,Client 321,30145.59,0.02,29542.68
C000322,Client 322,30657.73,0.02,30044.58
C000323,Client 323,27299.09,0.02,26753.11
C000324,Client 324,6972.88,0.02,6833.42
C000325,Client 325,10341.36,0.02,10134.53
C000326,Client 326,45581.02,0.02,44669.40
C000327,Client 327,34033.49,0.02,33352.82
C000328,Client 328,43969.12,0.02,43089.74
C000329,Client 329,7505.34,0.02,7355.23
C000330,Client 330,47634.76,0.02,46682.06
C000331,Client 331,18316.18,0.02,17949.86
C000332,Client 332,25095.36,0.02,24593.45
C000333,Client 333,30691.56,0.02,30077.73
C000334,Client 334,9812.68,0.02,9616.43
C000335,Client 335,30856.64,0.02,30239.51
C000336,Client 336,34481.61,0.02,33791.98
C000337,Client 337,1096.97,0.02,1075.03
C000338,Client 338,27195.64,0.02,26651.73
C000339,Client 339,13398.38,0.02,13130.41
C000340,Client 340,6423.95,0.02,6295.47
C000341,Client 341,38788.90,0.02,38013.12
C000342,Client 342,16525.91,0.02,16195.39
C000343,Client 343,1085.83,0.02,1064.11
C000344,Client 344,20657.52,0.02,20244.37
C000345,Client 345,45154.89,0.02,44251.79
C000346,Client 346,22890.52,0.02,22432.71
C000347,Client 347,41589.13,0.02,40757.35
C000348,Client 348,35187.98,0.02,34484.22
C000349,Client 349,36538.47,0.02,35807.70
C000350,Client 350,35995.88,0.02,35275.96
C000351,Client 351,40867.30,0.02,40049.95
C000352,Client 352,9363.65,0.02,9176.38
C000353,Client 353,42099.60,0.02,41257.61
C000354,Client 354,12720.21,0.02,12465.81
C000355,Client 355,35658.26,0.02,34945.09
C000356,Client 356,17210.11,0.02,16865.91
C000357,Client 357,36819.60,0.02,36083.21
C000358,Client 358,47479.23,0.02,46529.65
C000359,Client 359,16327.70,0.02,16001.15
C000360,Client 360,30144.34,0.02,29541.45
C000361,Client 361,21933.59,0.02,21494.92
C000362,Client 362,5200.02,0.02,5096.02
C000363,Client 363,41990.47,0.02,41150.66
C000364,Client 364,18724.49,0.02,18350.00
C000365,Client 365,37748.83,0.02,36993.85
C000366,Client 366,49748.98,0.02,48754.00
C000367,Client 367,40030.70,0.02,39230.09
C000368,Client 368,41699.52,0.02,40865.53
C000369,Client 369,10583.97,0.02,10372.29
C000370,Client 370,33705.10,0.02,33031.00
C000371,Client 371,6569.35,0.02,6437.96
C000372,Client 372,7907.81,0.02,7749.65
C000373,Client 373,40226.12,0.02,39421.60
C000374,Client 374,15898.80,0.02,15580.82
C000375,Client 375,36274.08,0.02,35548.60
C000376,Client 376,21491.22,0.02,21061.40
C000377,Client 377,11580.10,0.02,11348.50
C000378,Client 378,47289.13,0.02,46343.35
C000379,Client 379,48321.73,0.02,47355.30
C000380,Client 380,26439.65,0.02,25910.86
C000381,Client 381,18590.54,0.02,18218.73
C000382,Client 382,10725.60,0.02,10511.09
C000383,Client 383,5022.31,0.02,4921.86
C000384,Client 384,677.40,0.02,663.85
C000385,Client 385,28648.34,0.02,28075.37
C000386,Client 386,9659.19,0.02,9466.01
C000387,Client 387,17342.48,0.02,16995.63
C000388,Client 388,33980.90,0.02,33301.28
C000389,Client 389,25196.07,0.02,24692.15
C000390,Client 390,23837.81,0.02,23361.05
C000391,Client 391,18931.76,0.02,18553.12
C000392,Client 392,34079.01,0.02,33397.43
C000393,Client 393,34767.99,0.02,34072.63
C000394,Client 394,23703.53,0.02,23229.46
C000395,Client 395,1771.53,0.02,1736.10
C000396,Client 396,9406.36,0.02,9218.23
C000397,Client 397,31710.55,0.02,31076.34
C000398,Client 398,30316.73,0.02,29710.40
C000399,Client 399,19474.01,0.02,19084.53
C000400,Client 400,9253.69,0.02,9068.62
C000401,Client 401,37307.77,0.02,36561.61
C000402,Client 402,8691.03,0.02,8517.21
C000403,Client 403,27512.24,0.02,26962.00
C000404,Client 404,21971.24,0.02,21531.82
C000405,Client 405,8160.52,0.02,7997.31
C000406,Client 406,42712.48,0.02,41858.23
C000407,Client 407,47721.70,0.02,46767.27
C000408,Client 408,27390.21,0.02,26842.41
C000409,Client 409,24456.30,0.02,23967.17
C000410,Client 410,21763.22,0.02,21327.96
C000411,Client 411,20738.41,0.02,20323.64
C000412,Client 412,36882.63,0.02,36144.98
C000413,Client 413,38833.12,0.02,38056.46
C000414,Client 414,31893.19,0.02,31255.33
C000415,Client 415,28476.91,0.02,27907.37
C000416,Client 416,24707.07,0.02,24212.93
C000417,Client 417,18969.04,0.02,18589.66
C000418,Client 418,31268.24,0.02,30642.88
C000419,Client 419,15679.17,0.02,15365.59
C000420,Client 420,35535.04,0.02,34824.34
C000421,Client 421,181.94,0.02,178.30
C000422,Client 422,36710.28,0.02,35976.07
C000423,Client 423,31553.80,0.02,30922.72
C000424,Client 424,28181.84,0.02,27618.20
C000425,Client 425,20264.36,0.02,19859.07
C000426,Client 426,31547.99,0.02,30917.03
C000427,Client 427,13391.52,0.02,13123.69
C000428,Client 428,37268.72,0.02,36523.35
C000429,Client 429,49751.78,0.02,48756.74
C000430,Client 430,12022.14,0.02,11781.70
C000431,Client 431,20731.67,0.02,20317.04
C000432,Client 432,9485.88,0.02,9296.16
C000433,Client 433,16698.85,0.02,16364.87
C000434,Client 434,1379.66,0.02,1352.07
C000435,Client 435,3703.52,0.02,3629.45
C000436,Client 436,3911.49,0.02,3833.26
C000437,Client 437,6080.37,0.02,5958.76
C000438,Client 438,46695.77,0.02,45761.85
C000439,Client 439,25463.33,0.02,24954.06
C000440,Client 440,318.22,0.02,311.86
C000441,Client 441,2255.44,0.02,2210.33
C000442,Client 442,255.99,0.02,250.87
C000443,Client 443,26902.24,0.02,26364.20
C000444,Client 444,7043.22,0.02,6902.36
C000445,Client 445,6435.03,0.02,6306.33
C000446,Client 446,2800.19,0.02,2744.19
C000447,Client 447,11827.68,0.02,11591.13
C000448,Client 448,37502.50,0.02,36752.45
C000449,Client 449,2173.62,0.02,2130.15
C000450,Client 450,29342.55,0.02,28755.70
C000451,Client 451,28814.28,0.02,28237.99
C000452,Client 452,18000.03,0.02,17640.03
C000453,Client 453,49295.13,0.02,48309.23
C000454,Client 454,2512.42,0.02,2462.17
C000455,Client 455,28583.81,0.02,28012.13
C000456,Client 456,1564.49,0.02,1533.20
C000457,Client 457,21262.15,0.02,20836.91
C000458,Client 458,3590.66,0.02,3518.85
C000459,Client 459,22376.88,0.02,21929.34
C000460,Client 460,41798.01,0.02,40962.05
C000461,Client 461,824.65,0.02,808.16
C000462,Client 462,4653.36,0.02,4560.29
C000463,Client 463,23534.66,0.02,23063.97
C000464,Client 464,26850.18,0.02,26313.18
C000465,Client 465,13214.87,0.02,12950.57
C000466,Client 466,23316.01,0.02,22849.69
C000467,Client 467,17654.66,0.02,17301.57
C000468,Client 468,28284.75,0.02,27719.06
C000469,Client 469,36063.96,0.02,35342.68
C000470,Client 470,38459.93,0.02,37690.73
C000471,Client 471,45232.83,0.02,44328.17
C000472,Client 472,9613.12,0.02,9420.86
C000473,Client 473,2246.83,0.02,2201.89
C000474,Client 474,19638.73,0.02,19245.96
C000475,Client 475,16243.55,0.02,15918.68
C000476,Client 476,36824.12,0.02,36087.64
C000477,Client 477,25769.12,0.02,25253.74
C000478,Client 478,31497.86,0.02,30867.90
C000479,Client 479,25157.80,0.02,24654.64
C000480,Client 480,23129.31,0.02,22666.72
C000481,Client 481,21508.95,0.02,21078.77
C000482,Client 482,1984.58,0.02,1944.89
C000483,Client 483,23268.98,0.02,22803.60
C000484,Client 484,45988.93,0.02,45069.15
C000485,Client 485,6099.91,0.02,5977.91
C000486,Client 486,1043.87,0.02,1022.99
C000487,Client 487,41466.16,0.02,40636.84
C000488,Client 488,17451.85,0.02,17102.81
C000489,Client 489,7728.79,0.02,7574.21
C000490,Client 490,15303.37,0.02,14997.30
C000491,Client 491,43527.26,0.02,42656.71
C000492,Client 492,829.72,0.02,813.13
C000493,Client 493,41124.69,0.02,40302.20
C000494,Client 494,47604.26,0.02,46652.17
C000495,Client 495,6375.86,0.02,6248.34
C000496,Client 496,23177.71,0.02,22714.16
C000497,Client 497,41773.04,0.02,40937.58
C000498,Client 498,3086.95,0.02,3025.21
C000499,Client 499,34555.74,0.02,33864.63
C000500,Client 500,33631.94,0.02,32959.30
C000501,Client 501,7766.43,0.02,7611.10
C000502,Client 502,45385.40,0.02,44477.69
C000503,Client 503,45748.64,0.02,44833.67
C000504,Client 504,33068.78,0.02,32407.40
C000505,Client 505,47189.27,0.02,46245.48
C000506,Client 506,30440.42,0.02,29831.61
C000507,Client 507,12895.30,0.02,12637.39
C000508,Client 508,38340.00,0.02,37573.20
C000509,Client 509,37171.79,0.02,36428.35
C000510,Client 510,21591.94,0.02,21160.10
C000511,Client 511,15024.03,0.02,14723.55
C000512,Client 512,26866.15,0.02,26328.83
C000513,Client 513,18975.89,0.02,18596.37
C000514,Client 514,19857.66,0.02,19460.51
C000515,Client 515,31792.13,0.02,31156.29
C000516,Client 516,33023.85,0.02,32363.37
C000517,Client 517,35597.08,0.02,34885.14
C000518,Client 518,20616.17,0.02,20203.85
C000519,Client 519,42853.02,0.02,41995.96
C000520,Client 520,6049.32,0.02,5928.33
C000521,Client 521,8332.90,0.02,8166.24
C000522,Client 522,25276.12,0.02,24770.60
C000523,Client 523,467.52,0.02,458.17
C000524,Client 524,302.10,0.02,296.06
C000525,Client 525,45204.72,0.02,44300.63
C000526,Client 526,725.00,0.02,710.50
C000527,Client 527,34894.48,0.02,34196.59
C000528,Client 528,10625.79,0.02,10413.27
C000529,Client 529,47041.86,0.02,46101.02
C000530,Client 530,22207.79,0.02,21763.63
C000531,Client 531,9608.68,0.02,9416.51
C000532,Client 532,25553.45,0.02,25042.38
C000533,Client 533,24480.75,0.02,23991.13
C000534,Client 534,4926.16,0.02,4827.64
C000535,Client 535,37908.41,0.02,37150.24
C000536,Client 536,12050.55,0.02,11809.54
C000537,Client 537,40595.86,0.02,39783.94
C000538,Client 538,9564.34,0.02,9373.05
C000539,Client 539,9063.13,0.02,8881.87
C000540,Client 540,16289.69,0.02,15963.90
C000541,Client 541,36190.61,0.02,35466.80
C000542,Client 542,33168.07,0.02,32504.71
C000543,Client 543,27132.29,0.02,26589.64
C000544,Client 544,11189.73,0.02,10965.94
C000545,Client 545,24070.00,0.02,23588.60
C000546,Client 546,39030.66,0.02,38250.05
C000547,Client 547,45183.18,0.02,44279.52
C000548,Client 548,32127.81,0.02,31485.25
C000549,Client 549,7107.23,0.02,6965.09
C000550,Client 550,49824.28,0.02,48827.79
C000551,Client 551,36047.87,0.02,35326.91
C000552,Client 552,13465.12,0.02,13195.82
C000553,Client 553,2267.95,0.02,2222.59
C000554,Client 554,17148.47,0.02,16805.50
C000555,Client 555,5974.49,0.02,5855.00
C000556,Client 556,24715.89,0.02,24221.57
C000557,Client 557,18485.44,0.02,18115.73
C000558,Client 558,26973.13,0.02,26433.67
C000559,Client 559,21105.90,0.02,20683.78
C000560,Client 560,40741.94,0.02,39927.10
C000561,Client 561,3971.43,0.02,3892.00
C000562,Client 562,34930.77,0.02,34232.15
C000563,Client 563,2570.64,0.02,2519.23
C000564,Client 564,998.95,0.02,978.97
C000565,Client 565,17607.25,0.02,17255.10
C000566,Client 566,4360.00,0.02,4272.80
C000567,Client 567,49357.76,0.02,48370.60
C000568,Client 568,26507.06,0.02,25976.92
C000569,Client 569,19091.62,0.02,18709.79
C000570,Client 570,32223.84,0.02,31579.36
C000571,Client 571,13443.09,0.02,13174.23
C000572,Client 572,30439.10,0.02,29830.32
C000573,Client 573,11974.74,0.02,11735.25
C000574,Client 574,10801.57,0.02,10585.54
C000575,Client 575,47731.00,0.02,46776.38
C000576,Client 576,47855.50,0.02,46898.39
C000577,Client 577,25434.68,0.02,24925.99
C000578,Client 578,28915.99,0.02,28337.67
C000579,Client 579,14294.34,0.02,14008.45
C000580,Client 580,6463.31,0.02,6334.04
C000581,Client 581,48527.48,0.02,47556.93
C000582,Client 582,32125.19,0.02,31482.69
C000583,Client 583,19476.14,0.02,19086.62
C000584,Client 584,45949.48,0.02,45030.49
C000585,Client 585,11303.37,0.02,11077.30
C000586,Client 586,47957.26,0.02,46998.11
C000587,Client 587,48508.61,0.02,47538.44
C000588,Client 588,17414.70,0.02,17066.41
C000589,Client 589,17581.58,0.02,17229.95
C000590,Client 590,26308.64,0.02,25782.47
C000591,Client 591,32442.48,0.02,31793.63
C000592,Client 592,25193.59,0.02,24689.72
C000593,Client 593,18558.33,0.02,18187.16
C000594,Client 594,38627.57,0.02,37855.02
C000595,Client 595,23073.35,0.02,22611.88
C000596,Client 596,4970.68,0.02,4871.27
C000597,Client 597,34495.55,0.02,33805.64
C000598,Client 598,5526.88,0.02,5416.34
C000599,Client 599,46452.31,0.02,45523.26
C000600,Client 600,11207.47,0.02,10983.32
C000601,Client 601,36243.31,0.02,35518.44
C000602,Client 602,6833.84,0.02,6697.16
C000603,Client 603,9669.39,0.02,9476.00
C000604,Client 604,2758.30,0.02,2703.13
C000605,Client 605,37112.64,0.02,36370.39
C000606,Client 606,14079.53,0.02,13797.94
