client_id,client_name,distributed_amount,status
C024676,Client 24676,15385.87,COMPLETED
C001874,Client 1874,6435.51,COMPLETED
C035972,Client 35972,11357.43,COMPLETED
C014771,Client 14771,26715.67,COMPLETED
C048591,Client 48591,29899.04,COMPLETED
C049785,Client 49785,43854.62,COMPLETED
C020739,Client 20739,38611.83,COMPLETED
C045637,Client 45637,9872.48,COMPLETED
C042477,Client 42477,4401.91,COMPLETED
C034560,Client 34560,23293.07,COMPLETED
C016020,Client 16020,30612.97,COMPLETED
C000714,Client 714,26223.19,COMPLETED
C016855,Client 16855,35552.86,COMPLETED
C013777,Client 13777,30690.72,COMPLETED
C046072,Client 46072,25108.28,COMPLETED
C017712,Client 17712,41715.52,COMPLETED
C045897,Client 45897,34601.11,COMPLETED
C014544,Client 14544,2424.43,COMPLETED
C004196,Client 4196,37114.92,COMPLETED
C012459,Client 12459,31200.31,COMPLETED
C040395,Client 40395,32315.37,COMPLETED
C049011,Client 49011,28463.03,COMPLETED
C043218,Client 43218,3341.70,COMPLETED
C047844,Client 47844,40091.70,COMPLETED
C043147,Client 43147,10286.06,COMPLETED
C027198,Client 27198,20440.88,COMPLETED
C009793,Client 9793,20884.42,COMPLETED
C012021,Client 12021,17279.46,COMPLETED
C024332,Client 24332,36835.26,COMPLETED
C035716,Client 35716,3614.80,COMPLETED
C038502,Client 38502,20078.82,COMPLETED
C018963,Client 18963,17490.14,COMPLETED
C005647,Client 5647,37149.46,COMPLETED
C021513,Client 21513,35298.72,COMPLETED
C003306,Client 3306,46718.49,COMPLETED
C047062,Client 47062,47113.75,COMPLETED
C043055,Client 43055,41574.80,COMPLETED
C011019,Client 11019,20429.22,COMPLETED
C044671,Client 44671,29175.13,COMPLETED
C009438,Client 9438,15583.24,COMPLETED
C046376,Client 46376,9920.74,COMPLETED
C032840,Client 32840,5090.85,COMPLETED
C025172,Client 25172,21725.73,COMPLETED
C034652,Client 34652,27258.68,COMPLETED
C009833,Client 9833,19793.83,COMPLETED
C027137,Client 27137,22563.58,COMPLETED
C003599,Client 3599,30061.51,COMPLETED
C042797,Client 42797,9420.19,COMPLETED
C023584,Client 23584,42267.94,COMPLETED
C041346,Client 41346,1573.26,COMPLETED
C041098,Client 41098,15141.21,COMPLETED
C006641,Client 6641,38276.04,COMPLETED
C039807,Client 39807,370.86,COMPLETED
C024172,Client 24172,22180.69,COMPLETED
C045058,Client 45058,8850.18,COMPLETED
C049837,Client 49837,32374.20,COMPLETED
C044314,Client 44314,35396.32,COMPLETED
C031872,Client 31872,29704.11,COMPLETED
C010980,Client 10980,33828.06,COMPLETED
C031078,Client 31078,30966.70,COMPLETED
C038844,Client 38844,25846.76,COMPLETED
C042136,Client 42136,29658.27,COMPLETED
C021122,Client 21122,15159.45,COMPLETED
C008981,Client 8981,12465.74,COMPLETED
C002982,Client 2982,2906.28,COMPLETED
C020202,Client 20202,38142.09,COMPLETED
C036028,Client 36028,3211.25,COMPLETED
C020110,Client 20110,28987.50,COMPLETED
C042412,Client 42412,38622.29,COMPLETED
C022553,Client 22553,42070.22,COMPLETED
C009444,Client 9444,15283.94,COMPLETED
C016503,Client 16503,36792.45,COMPLETED
C020836,Client 20836,7209.62,COMPLETED
C013725,Client 13725,37457.32,COMPLETED
C007096,Client 7096,11659.31,COMPLETED
C005903,Client 5903,7867.26,COMPLETED
C009066,Client 9066,39170.25,COMPLETED
C024883,Client 24883,40655.03,COMPLETED
C016620,Client 16620,36168.77,COMPLETED
C033977,Client 33977,7881.23,COMPLETED
C038994,Client 38994,20487.38,COMPLETED
C009409,Client 9409,12586.73,COMPLETED
C027589,Client 27589,20162.12,COMPLETED
C033584,Client 33584,13975.99,COMPLETED
C032913,Client 32913,46652.96,COMPLETED
C049403,Client 49403,37848.21,COMPLETED
C043344,Client 43344,17984.49,COMPLETED
C014632,Client 14632,26456.15,COMPLETED
C001294,Client 1294,25405.30,COMPLETED
C000041,Client 41,14699.97,COMPLETED
C011421,Client 11421,44675.80,COMPLETED
C033454,Client 33454,11253.33,COMPLETED
C023384,Client 23384,18193.79,COMPLETED
C028469,Client 28469,17205.45,COMPLETED
C019590,Client 19590,34473.16,COMPLETED
C043703,Client 43703,42658.67,COMPLETED
C007665,Client 7665,34474.97,COMPLETED
C016770,Client 16770,37517.80,COMPLETED
C005068,Client 5068,38463.09,COMPLETED
C026900,Client 26900,22275.82,COMPLETED
C029300,Client 29300,15999.65,COMPLETED
C014790,Client 14790,30763.24,COMPLETED
C006610,Client 6610,33052.83,COMPLETED
C037433,Client 37433,17538.90,COMPLETED
C003072,Client 3072,33382.25,COMPLETED
C017599,Client 17599,26624.40,COMPLETED
C017311,Client 17311,38708.04,COMPLETED
C023652,Client 23652,21171.47,COMPLETED
C035356,Client 35356,24922.55,COMPLETED
C021487,Client 21487,47522.10,COMPLETED
C023119,Client 23119,12504.02,COMPLETED
C045979,Client 45979,10318.72,COMPLETED
C012737,Client 12737,3931.52,COMPLETED
C021135,Client 21135,30636.17,COMPLETED
C007682,Client 7682,28652.98,COMPLETED
C011401,Client 11401,44887.67,COMPLETED
C015432,Client 15432,1203.95,COMPLETED
C034337,Client 34337,47418.68,COMPLETED
C029821,Client 29821,30042.20,COMPLETED
C009922,Client 9922,29546.42,COMPLETED
C020002,Client 20002,2380.93,COMPLETED
C020196,Client 20196,43492.33,COMPLETED
C038464,Client 38464,39578.67,COMPLETED
C045643,Client 45643,8760.04,COMPLETED
C010106,Client 10106,41752.98,COMPLETED
C009486,Client 9486,19555.17,COMPLETED
C044336,Client 44336,15356.93,COMPLETED
C029098,Client 29098,422.04,COMPLETED
C014447,Client 14447,35725.00,COMPLETED
C001202,Client 1202,6343.38,COMPLETED
C028002,Client 28002,4765.88,COMPLETED
C029787,Client 29787,7585.59,COMPLETED
C047065,Client 47065,37579.99,COMPLETED
C020686,Client 20686,5440.37,COMPLETED
C017321,Client 17321,3447.59,COMPLETED
C035160,Client 35160,43131.92,COMPLETED
C025298,Client 25298,12824.50,COMPLETED
C003020,Client 3020,14272.65,COMPLETED
C045335,Client 45335,7259.42,COMPLETED
C042974,Client 42974,6147.35,COMPLETED
C017406,Client 17406,48572.56,COMPLETED
C013781,Client 13781,47232.09,COMPLETED
C019284,Client 19284,32439.63,COMPLETED
C033910,Client 33910,15309.95,COMPLETED
C009780,Client 9780,10063.18,COMPLETED
C023651,Client 23651,22287.44,COMPLETED
C035564,Client 35564,45271.54,COMPLETED
C000477,Client 477,25253.74,COMPLETED
C042618,Client 42618,2819.75,COMPLETED
C049548,Client 49548,11588.64,COMPLETED
C016723,Client 16723,30708.38,COMPLETED
C019536,Client 19536,7012.12,COMPLETED
C036896,Client 36896,23007.52,COMPLETED
C039331,Client 39331,48195.10,COMPLETED
C023054,Client 23054,32267.02,COMPLETED
C042925,Client 42925,28112.32,COMPLETED
C012688,Client 12688,47099.02,COMPLETED
C048645,Client 48645,5255.94,COMPLETED
C045206,Client 45206,40981.56,COMPLETED
C043345,Client 43345,18315.41,COMPLETED
C016219,Client 16219,37382.08,COMPLETED
C008720,Client 8720,22461.30,COMPLETED
C007765,Client 7765,14678.68,COMPLETED
C043581,Client 43581,36422.54,COMPLETED
C013959,Client 13959,38986.91,COMPLETED
C045389,Client 45389,5902.44,COMPLETED
C048485,Client 48485,43425.12,COMPLETED
C019521,Client 19521,23439.54,COMPLETED
C022104,Client 22104,36811.73,COMPLETED
C040374,Client 40374,11003.14,COMPLETED
C022204,Client 22204,14313.66,COMPLETED
C004975,Client 4975,9898.01,COMPLETED
C041626,Client 41626,8269.28,COMPLETED
C026888,Client 26888,34305.12,COMPLETED
C036882,Client 36882,13158.68,COMPLETED
C034445,Client 34445,25404.28,COMPLETED
C010950,Client 10950,11065.59,COMPLETED
C020421,Client 20421,5039.74,COMPLETED
C021294,Client 21294,48401.22,COMPLETED
C001618,Client 1618,32925.67,COMPLETED
C031177,Client 31177,33017.09,COMPLETED
C014064,Client 14064,6965.15,COMPLETED
C045601,Client 45601,6478.56,COMPLETED
C010953,Client 10953,22440.64,COMPLETED
C014804,Client 14804,12368.08,COMPLETED
C020697,Client 20697,44798.70,COMPLETED
C004908,Client 4908,44229.89,COMPLETED
C015806,Client 15806,30716.33,COMPLETED
C035630,Client 35630,7278.17,COMPLETED
C032165,Client 32165,29204.53,COMPLETED
C014445,Client 14445,19056.52,COMPLETED
C041772,Client 41772,5840.60,COMPLETED
C028686,Client 28686,15866.64,COMPLETED
C020052,Client 20052,44698.96,COMPLETED
C030244,Client 30244,42734.24,COMPLETED
C014146,Client 14146,15754.01,COMPLETED
C007385,Client 7385,12257.52,COMPLETED
C026103,Client 26103,47783.16,COMPLETED
C032607,Client 32607,6675.32,COMPLETED
C016039,Client 16039,35839.77,COMPLETED
C020205,Client 20205,7357.51,COMPLETED
C006011,Client 6011,17957.24,COMPLETED
C025132,Client 25132,30321.47,COMPLETED
C005035,Client 5035,40732.33,COMPLETED
C002882,Client 2882,48041.06,COMPLETED
C009697,Client 9697,35133.56,COMPLETED
C038641,Client 38641,18977.88,COMPLETED
C041662,Client 41662,25035.66,COMPLETED
C006031,Client 6031,6985.66,COMPLETED
C000448,Client 448,36752.45,COMPLETED
C044565,Client 44565,44620.39,COMPLETED
C015961,Client 15961,2756.90,COMPLETED
C044179,Client 44179,37430.98,COMPLETED
C017720,Client 17720,31001.50,COMPLETED
C042455,Client 42455,26427.37,COMPLETED
C013845,Client 13845,34691.54,COMPLETED
C011023,Client 11023,4767.76,COMPLETED
C009217,Client 9217,23144.00,COMPLETED
C008681,Client 8681,15513.85,COMPLETED
C000306,Client 306,26715.49,COMPLETED
C020679,Client 20679,28795.23,COMPLETED
C013056,Client 13056,2385.36,COMPLETED
C049504,Client 49504,9728.58,COMPLETED
C025226,Client 25226,45564.20,COMPLETED
C034952,Client 34952,32936.20,COMPLETED
C014024,Client 14024,17153.60,COMPLETED
C024618,Client 24618,18915.41,COMPLETED
C011196,Client 11196,9701.87,COMPLETED
C023474,Client 23474,14641.46,COMPLETED
C011117,Client 11117,126.42,COMPLETED
C018209,Client 18209,47845.74,COMPLETED
C006653,Client 6653,14121.20,COMPLETED
C046293,Client 46293,9218.26,COMPLETED
C043735,Client 43735,5542.25,COMPLETED
C007162,Client 7162,44861.53,COMPLETED
C046101,Client 46101,36233.09,COMPLETED
C013254,Client 13254,41350.62,COMPLETED
C027995,Client 27995,37033.63,COMPLETED
C037445,Client 37445,21713.78,COMPLETED
C031589,Client 31589,1545.01,COMPLETED
C008394,Client 8394,7770.86,COMPLETED
C018884,Client 18884,18700.91,COMPLETED
C022804,Client 22804,29323.63,COMPLETED
C048121,Client 48121,41882.83,COMPLETED
C037704,Client 37704,12662.59,COMPLETED
C006519,Client 6519,31246.65,COMPLETED
C012602,Client 12602,940.66,COMPLETED
C000953,Client 953,31287.82,COMPLETED
C041651,Client 41651,6865.36,COMPLETED
C018271,Client 18271,41768.82,COMPLETED
C028492,Client 28492,14702.96,COMPLETED
C038958,Client 38958,33088.96,COMPLETED
C006354,Client 6354,6638.52,COMPLETED
C033811,Client 33811,22182.94,COMPLETED
C021464,Client 21464,4143.11,COMPLETED
C033953,Client 33953,46770.33,COMPLETED
C022617,Client 22617,20148.30,COMPLETED
C039082,Client 39082,15901.13,COMPLETED
C010967,Client 10967,48029.21,COMPLETED
C031601,Client 31601,7747.23,COMPLETED
C047002,Client 47002,40419.56,COMPLETED
C023629,Client 23629,13771.66,COMPLETED
C002054,Client 2054,27616.53,COMPLETED
C049380,Client 49380,1508.89,COMPLETED
C001011,Client 1011,27229.27,COMPLETED
C025508,Client 25508,13537.05,COMPLETED
C034541,Client 34541,16054.62,COMPLETED
C022295,Client 22295,16896.74,COMPLETED
C028760,Client 28760,10090.31,COMPLETED
C001637,Client 1637,5743.47,COMPLETED
C027697,Client 27697,17325.53,COMPLETED
C002533,Client 2533,6813.37,COMPLETED
C033909,Client 33909,40429.74,COMPLETED
C000868,Client 868,46723.68,COMPLETED
C023060,Client 23060,28077.13,COMPLETED
C007798,Client 7798,7732.80,COMPLETED
C042390,Client 42390,32707.48,COMPLETED
C049793,Client 49793,27881.30,COMPLETED
C005056,Client 5056,28915.95,COMPLETED
C011292,Client 11292,38905.02,COMPLETED
C031763,Client 31763,22334.27,COMPLETED
C017716,Client 17716,553.89,COMPLETED
C039674,Client 39674,20894.78,COMPLETED
C014012,Client 14012,28026.53,COMPLETED
C031157,Client 31157,44317.94,COMPLETED
C046394,Client 46394,18600.56,COMPLETED
C025310,Client 25310,15993.75,COMPLETED
C016152,Client 16152,33358.30,COMPLETED
C010806,Client 10806,24898.42,COMPLETED
C014860,Client 14860,22693.88,COMPLETED
C045122,Client 45122,26974.78,COMPLETED
C037665,Client 37665,32954.79,COMPLETED
C048671,Client 48671,26664.17,COMPLETED
C006792,Client 6792,11988.72,COMPLETED
C008917,Client 8917,6937.82,COMPLETED
C028105,Client 28105,41032.82,COMPLETED
C042191,Client 42191,25431.85,COMPLETED
C031700,Client 31700,39855.94,COMPLETED
C023071,Client 23071,28368.80,COMPLETED
C005655,Client 5655,37390.17,COMPLETED
C005460,Client 5460,6108.37,COMPLETED
C038938,Client 38938,20576.06,COMPLETED
C023510,Client 23510,41827.28,COMPLETED
C001336,Client 1336,8249.57,COMPLETED
C007451,Client 7451,41217.91,COMPLETED
C024765,Client 24765,16857.03,COMPLETED
C035490,Client 35490,25859.01,COMPLETED
C049165,Client 49165,9197.40,COMPLETED
C048764,Client 48764,8462.84,COMPLETED
C041527,Client 41527,7139.14,COMPLETED
C014574,Client 14574,28208.09,COMPLETED
C035538,Client 35538,45575.68,COMPLETED
C015622,Client 15622,42644.98,COMPLETED
C001431,Client 1431,40277.53,COMPLETED
C006333,Client 6333,39121.24,COMPLETED
C034960,Client 34960,46728.16,COMPLETED
C008473,Client 8473,14446.22,COMPLETED
C012905,Client 12905,45929.57,COMPLETED
C039930,Client 39930,28998.94,COMPLETED
C046799,Client 46799,34785.38,COMPLETED
C039585,Client 39585,26419.82,COMPLETED
C013400,Client 13400,11148.81,COMPLETED
C044814,Client 44814,28855.41,COMPLETED
C018836,Client 18836,12384.35,COMPLETED
C008162,Client 8162,15407.81,COMPLETED
C018628,Client 18628,25677.92,COMPLETED
C019144,Client 19144,29167.53,COMPLETED
C028247,Client 28247,29757.37,COMPLETED
C038688,Client 38688,1149.67,COMPLETED
C009747,Client 9747,41089.15,COMPLETED
C032578,Client 32578,44568.56,COMPLETED
C032556,Client 32556,32505.00,COMPLETED
C044658,Client 44658,5718.05,COMPLETED
C001770,Client 1770,2158.24,COMPLETED
C047153,Client 47153,16009.45,COMPLETED
C000139,Client 139,1859.89,COMPLETED
C024388,Client 24388,24524.20,COMPLETED
C026128,Client 26128,31556.60,COMPLETED
C009886,Client 9886,16733.72,COMPLETED
C045008,Client 45008,32390.37,COMPLETED
C038311,Client 38311,14484.08,COMPLETED
C020529,Client 20529,6549.54,COMPLETED
C003589,Client 3589,39392.00,COMPLETED
C046500,Client 46500,21506.25,COMPLETED
C042821,Client 42821,19724.05,COMPLETED
C043611,Client 43611,15795.41,COMPLETED
C044579,Client 44579,47514.44,COMPLETED
C021818,Client 21818,12684.77,COMPLETED
C035255,Client 35255,11827.92,COMPLETED
C049041,Client 49041,3911.16,COMPLETED
C049664,Client 49664,11369.15,COMPLETED
C020296,Client 20296,27306.76,COMPLETED
C032591,Client 32591,31754.66,COMPLETED
C042024,Client 42024,6453.66,COMPLETED
C005060,Client 5060,36127.87,COMPLETED
C010244,Client 10244,28571.49,COMPLETED
C002701,Client 2701,47877.85,COMPLETED
C015666,Client 15666,21516.91,COMPLETED
C005316,Client 5316,7270.02,COMPLETED
C015633,Client 15633,22509.55,COMPLETED
C005776,Client 5776,42388.47,COMPLETED
C035058,Client 35058,14228.72,COMPLETED
C044351,Client 44351,31326.58,COMPLETED
C019619,Client 19619,47033.66,COMPLETED
C008652,Client 8652,40393.34,COMPLETED
C031472,Client 31472,17543.04,COMPLETED
C014399,Client 14399,32378.19,COMPLETED
C043436,Client 43436,22786.19,COMPLETED
C003112,Client 3112,29179.47,COMPLETED
C038167,Client 38167,43396.41,COMPLETED
C019453,Client 19453,40280.24,COMPLETED
C023966,Client 23966,12119.79,COMPLETED
C032405,Client 32405,10738.49,COMPLETED
C007669,Client 7669,6840.81,COMPLETED
C000621,Client 621,11100.69,COMPLETED
C009324,Client 9324,33299.30,COMPLETED
C047917,Client 47917,23065.23,COMPLETED
C033748,Client 33748,12310.72,COMPLETED
C021712,Client 21712,7711.75,COMPLETED
C034346,Client 34346,43568.04,COMPLETED
C035987,Client 35987,33972.17,COMPLETED
C012723,Client 12723,16575.06,COMPLETED
C033819,Client 33819,37560.14,COMPLETED
C021253,Client 21253,34073.64,COMPLETED
C017109,Client 17109,45541.41,COMPLETED
C011663,Client 11663,12828.58,COMPLETED
C007262,Client 7262,13536.65,COMPLETED
C009870,Client 9870,13296.02,COMPLETED
C006035,Client 6035,13179.76,COMPLETED
C012171,Client 12171,10899.19,COMPLETED
C014011,Client 14011,16601.87,COMPLETED
C044089,Client 44089,46192.35,COMPLETED
C005476,Client 5476,39403.79,COMPLETED
C041117,Client 41117,20996.33,COMPLETED
C044480,Client 44480,22694.80,COMPLETED
C022868,Client 22868,11866.87,COMPLETED
C030589,Client 30589,19008.66,COMPLETED
C034329,Client 34329,30150.11,COMPLETED
C016238,Client 16238,12562.95,COMPLETED
C042261,Client 42261,43539.50,COMPLETED
C002670,Client 2670,41710.61,COMPLETED
C037594,Client 37594,1719.83,COMPLETED
C040211,Client 40211,27108.09,COMPLETED
C036877,Client 36877,48966.74,COMPLETED
C048865,Client 48865,39557.62,COMPLETED
C047624,Client 47624,41960.54,COMPLETED
C003831,Client 3831,33625.82,COMPLETED
C003374,Client 3374,18639.07,COMPLETED
C016720,Client 16720,25090.32,COMPLETED
C042848,Client 42848,26362.67,COMPLETED
C011971,Client 11971,26836.20,COMPLETED
C025688,Client 25688,28426.57,COMPLETED
C025685,Client 25685,15204.15,COMPLETED
C022654,Client 22654,2081.87,COMPLETED
C025453,Client 25453,2359.88,COMPLETED
C025248,Client 25248,33191.96,COMPLETED
C004328,Client 4328,30878.44,COMPLETED
C002344,Client 2344,38162.92,COMPLETED
C029543,Client 29543,11803.11,COMPLETED
C027184,Client 27184,6032.52,COMPLETED
C010466,Client 10466,13094.56,COMPLETED
C025733,Client 25733,29421.54,COMPLETED
C026778,Client 26778,38952.30,COMPLETED
C016403,Client 16403,46810.85,COMPLETED
C019985,Client 19985,26211.47,COMPLETED
C032769,Client 32769,45914.89,COMPLETED
C024868,Client 24868,1011.62,COMPLETED
C017634,Client 17634,5805.32,COMPLETED
C007199,Client 7199,13726.13,COMPLETED
C037308,Client 37308,12357.49,COMPLETED
C018567,Client 18567,33638.68,COMPLETED
C047778,Client 47778,3721.93,COMPLETED
C037092,Client 37092,39836.24,COMPLETED
C000006,Client 6,13717.82,COMPLETED
C011106,Client 11106,48364.62,COMPLETED
C015870,Client 15870,44059.49,COMPLETED
C002848,Client 2848,3031.19,COMPLETED
C028567,Client 28567,12461.37,COMPLETED
C025270,Client 25270,7490.71,COMPLETED
C049753,Client 49753,596.61,COMPLETED
C048833,Client 48833,7226.90,COMPLETED
C041996,Client 41996,8957.89,COMPLETED
C023168,Client 23168,23738.63,COMPLETED
C004086,Client 4086,32810.14,COMPLETED
C021226,Client 21226,7652.12,COMPLETED
C026854,Client 26854,46372.18,COMPLETED
C043428,Client 43428,28275.07,COMPLETED
C034557,Client 34557,1216.28,COMPLETED
C044691,Client 44691,44235.40,COMPLETED
C029120,Client 29120,38916.66,COMPLETED
C020397,Client 20397,18155.30,COMPLETED
C027833,Client 27833,45040.17,COMPLETED
C025814,Client 25814,27380.96,COMPLETED
C036036,Client 36036,6971.78,COMPLETED
C007517,Client 7517,3953.28,COMPLETED
C001420,Client 1420,45634.78,COMPLETED
C041722,Client 41722,39112.36,COMPLETED
C037187,Client 37187,20322.65,COMPLETED
C008057,Client 8057,48368.10,COMPLETED
C006497,Client 6497,34426.94,COMPLETED
C020820,Client 20820,12769.16,COMPLETED
C023721,Client 23721,20266.26,COMPLETED
C046626,Client 46626,32548.13,COMPLETED
C027324,Client 27324,46451.55,COMPLETED
C003039,Client 3039,10529.68,COMPLETED
C038562,Client 38562,21004.93,COMPLETED
C014752,Client 14752,30748.71,COMPLETED
